AVGAD,AVGD,,,,,,,,,,,,,,,,,,,,,,,
AVGOL,AVGL,,,,,,,,,,,,,,,,,,,,,,,
AVIATION LINKS,AVIA,,,,,,,,,,,,,,,,,,,,,,,
AVIV,AVIV,,,,,,,,,,,,,,,,,,,,,,,
AVIV ARLON,AVLN,,,,,,,,,,,,,,,,,,,,,,,
AVROT,AVRT,,,,,,,,,,,,,,,,,,,,,,,
AXILION,AILN,,,,,,,,,,,,,,,,,,,,,,,
AYALON  HOLD.,AYAL,,,,,,,,,,,,,,,,,,,,,,,
AZORIM,AZRM,,,,,,,,,,,,,,,,,,,,,,,
AZRIELI GROUP,AZRG,,,,,,,,,,,,,,,,,,,,,,,
B COMMUNICATION,BCOM,,,,,,,,,,,,,,,,,,,,,,,
BAIT BAKFAR,BKFR,,,,,,,,,,,,,,,,,,,,,,,
BAIT VEGAG GL,BVGG,,,,,,,,,,,,,,,,,,,,,,,
BARAN,BRAN,,,,,,,,,,,,,,,,,,,,,,,
BAREKET,BRKT,,,,,,,,,,,,,,,,,,,,,,,
BATM,BVC,,,,,,,,,,,,,,,,,,,,,,,
BAZAN,ORL,,,,,,,,,,,,,,,,,,,,,,,
BEEIO HONEY,BHNY,,,,,,,,,,,,,,,,,,,,,,,
BET SHEMESH,BSEN,,,,,,,,,,,,,,,,,,,,,,,
BEYON 3D,BYON,,,,,,,,,,,,,,,,,,,,,,,
BEZEQ,BEZQ,,,,,,,,,,,,,,,,,,,,,,,
BIG,BIG,,,,,,,,,,,,,,,,,,,,,,,
BIG-TECH 50 PU,BIGT,,,,,,,,,,,,,,,,,,,,,,,
BIKUREY HASHDE,BKRY,,,,,,,,,,,,,,,,,,,,,,,
BIO VIEW,BIOV,,,,,,,,,,,,,,,,,,,,,,,
BIOLIGHT,BOLT,,,,,,,,,,,,,,,,,,,,,,,
BIOLINE RX,BLRX,,,,,,,,,,,,,,,,,,,,,,,
BIOMEAT FOOD PU,BIMT,,,,,,,,,,,,,,,,,,,,,,,
BIRMAN,BIRM,,,,,,,,,,,,,,,,,,,,,,,
BLADE RANGER,BLRN,,,,,,,,,,,,,,,,,,,,,,,
BLENDER,BLND,,,,,,,,,,,,,,,,,,,,,,,
BLITZ,BLTZ,,,,,,,,,,,,,,,,,,,,,,,
BLUE SQ REAL ES,BLSR,,,,,,,,,,,,,,,,,,,,,,,
BONEI TICHON,BOTI,,,,,,,,,,,,,,,,,,,,,,,
BONUS BIOGROUP,BONS,,,,,,,,,,,,,,,,,,,,,,,
BRACK CAPIT N V,BCNV,,,,,,,,,,,,,,,,,,,,,,,
BRAINSWAY,BWAY,,,,,,,,,,,,,,,,,,,,,,,
BRAM INDUS,BRAM,,,,,,,,,,,,,,,,,,,,,,,
BRAND,BRND,,,,,,,,,,,,,,,,,,,,,,,
BRENMILLER,BNRG,,,,,,,,,,,,,,,,,,,,,,,
BRILL,BRIL,,,,,,,,,,,,,,,,,,,,,,,
BRIMAG,BRMG,,,,,,,,,,,,,,,,,,,,,,,
BUBBLES,BBLS,,,,,,,,,,,,,,,,,,,,,,,
BUFF TECH',BUFT,,,,,,,,,,,,,,,,,,,,,,,
BULIGO,BLGO,,,,,,,,,,,,,,,,,,,,,,,
BULL TRADING,BULL,,,,,,,,,,,,,,,,,,,,,,,
C I SYSTEMS,CISY,,,,,,,,,,,,,,,,,,,,,,,
CAMTEK,CAMT,,,,,,,,,,,,,,,,,,,,,,,
CAN FITE BIO,CANF,,,,,,,,,,,,,,,,,,,,,,,
CANNABOTECH,CNTC,,,,,,,,,,,,,,,,,,,,,,,
CANNASSURE,CSURE,,,,,,,,,,,,,,,,,,,,,,,
CANNOMED,CNMD,,,,,,,,,,,,,,,,,,,,,,,
CANZON,CNZN,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL POINT,CPTP,,,,,,,,,,,,,,,,,,,,,,,
CARASSO MOTORS,CRSM,,,,,,,,,,,,,,,,,,,,,,,
CARASSO REAL ES,CRSR,,,,,,,,,,,,,,,,,,,,,,,
CARMEL CORP,CRML,,,,,,,,,,,,,,,,,,,,,,,
CARMIT,CRMT,,,,,,,,,,,,,,,,,,,,,,,
CASTRO,CAST,,,,,,,,,,,,,,,,,,,,,,,
CELLCOM,CEL,,,,,,,,,,,,,,,,,,,,,,,
CIPIA VISION,CPIA,,,,,,,,,,,,,,,,,,,,,,,
CITRUS PLANT 5,CTPL5,,,,,,,,,,,,,,,,,,,,,,,
CITRUS PLANT1,CTPL1,,,,,,,,,,,,,,,,,,,,,,,
C-LAB,CLAB,,,,,,,,,,,,,,,,,,,,,,,
CLAL BIOTECH,CBI,,,,,,,,,,,,,,,,,,,,,,,
CLAL INSURANCE,CLIS,,,,,,,,,,,,,,,,,,,,,,,
COFIX GROUP,CFX,,,,,,,,,,,,,,,,,,,,,,,
COHEN DEV,CDEV,,,,,,,,,,,,,,,,,,,,,,,
COMPUGEN,CGEN,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER DIRECT,CMDR,,,,,,,,,,,,,,,,,,,,,,,
CONTINUAL,CNTL,,,,,,,,,,,,,,,,,,,,,,,
CREATIV MEDIA P,CMCT.P,,,,,,,,,,,,,,,,,,,,,,,
CREATIVE MEDIA,CMCT,,,,,,,,,,,,,,,,,,,,,,,
DAN   HOTELS,DANH,,,,,,,,,,,,,,,,,,,,,,,
DANEL,DANE,,,,,,,,,,,,,,,,,,,,,,,
DANYA CEBUS,DNYA,,,,,,,,,,,,,,,,,,,,,,,
DECMA CAPITAL,DCMA,,,,,,,,,,,,,,,,,,,,,,,
DELEK AUTOMOTIV,DLEA,,,,,,,,,,,,,,,,,,,,,,,
DELEK GROUP,DLEKG,,,,,,,,,,,,,,,,,,,,,,,
DELTA BRANDS,DLTI,,,,,,,,,,,,,,,,,,,,,,,
DELTA GALIL,DELG,,,,,,,,,,,,,,,,,,,,,,,
DIMRI,DIMRI,,,,,,,,,,,,,,,,,,,,,,,
DIPLOMAT HOLDI.,DIPL,,,,,,,,,,,,,,,,,,,,,,,
DIRECT FINANCE,DIFI,,,,,,,,,,,,,,,,,,,,,,,
DISCOUNT,DSCT,,,,,,,,,,,,,,,,,,,,,,,
DISCOUNT INV,DISI,,,,,,,,,,,,,,,,,,,,,,,
DM3,DM3,,,,,,,,,,,,,,,,,,,,,,,
DNA GROUP,DNA,,,,,,,,,,,,,,,,,,,,,,,
DOR ALON,DRAL,,,,,,,,,,,,,,,,,,,,,,,
DORAL ENERGY,DORL,,,,,,,,,,,,,,,,,,,,,,,
DORSEL HOLD,DRSH,,,,,,,,,,,,,,,,,,,,,,,
DUNIEC,DUNI,,,,,,,,,,,,,,,,,,,,,,,
E&M,EMCO,,,,,,,,,,,,,,,,,,,,,,,
ECONERGY,ECNR,,,,,,,,,,,,,,,,,,,,,,,
ECOPPIA,ECPA,,,,,,,,,,,,,,,,,,,,,,,
EL AL,ELAL,,,,,,,,,,,,,,,,,,,,,,,
ELBIT IMAGING-M,EMITF-M,,,,,,,,,,,,,,,,,,,,,,,
ELBIT MEDITEC-M,EMTC-M,,,,,,,,,,,,,,,,,,,,,,,
ELBIT SYSTEMS,ESLT,,,,,,,,,,,,,,,,,,,,,,,
ELCO,ELCO,,,,,,,,,,,,,,,,,,,,,,,
ELDAV,ELDAV,,,,,,,,,,,,,,,,,,,,,,,
ELECTRA,ELTR,,,,,,,,,,,,,,,,,,,,,,,
ELECTRA CO  PR,ECP,,,,,,,,,,,,,,,,,,,,,,,
ELECTRA REAL E.,ELCRE,,,,,,,,,,,,,,,,,,,,,,,
ELECTREON,ELWS,,,,,,,,,,,,,,,,,,,,,,,
ELLOMAY,ELLO,,,,,,,,,,,,,,,,,,,,,,,
ELMOR,ELMR,,,,,,,,,,,,,,,,,,,,,,,
ELRON,ELRN,,,,,,,,,,,,,,,,,,,,,,,
ELSPEC,ELSPC,,,,,,,,,,,,,,,,,,,,,,,
EMILIA DEVEL,EMDV,,,,,,,,,,,,,,,,,,,,,,,
ENDYMED,ENDY,,,,,,,,,,,,,,,,,,,,,,,
ENERGEAN,ENOG,,,,,,,,,,,,,,,,,,,,,,,
ENERGIX,ENRG,,,,,,,,,,,,,,,,,,,,,,,
ENLIGHT ENERGY,ENLT,,,,,,,,,,,,,,,,,,,,,,,
ENLIVEX,ENLV,,,,,,,,,,,,,,,,,,,,,,,
ENVIZION,ENVM,,,,,,,,,,,,,,,,,,,,,,,
EPITOMEE MED,EPIT,,,,,,,,,,,,,,,,,,,,,,,
EQUITAL,EQTL,,,,,,,,,,,,,,,,,,,,,,,
ERECH FINANCE,EFNC,,,,,,,,,,,,,,,,,,,,,,,
ERIKA B-CURE,BCUR,,,,,,,,,,,,,,,,,,,,,,,
ETGA GROUP,ETGA,,,,,,,,,,,,,,,,,,,,,,,
EVOGENE,EVGN,,,,,,,,,,,,,,,,,,,,,,,
EXPORT INV,EXPO,,,,,,,,,,,,,,,,,,,,,,,
FATTAL HOLD,FTAL,,,,,,,,,,,,,,,,,,,,,,,
FEAT INV PU,FEAT,,,,,,,,,,,,,,,,,,,,,,,
FIBI BANK,FIBI,,,,,,,,,,,,,,,,,,,,,,,
FIBI HOLDINGS,FIBIH,,,,,,,,,,,,,,,,,,,,,,,
FIRE AND GAS,FGAS,,,,,,,,,,,,,,,,,,,,,,,
FLYING SPARK,FLYS,,,,,,,,,,,,,,,,,,,,,,,
FMS,FBRT,,,,,,,,,,,,,,,,,,,,,,,
FORESIGHT,FRSX,,,,,,,,,,,,,,,,,,,,,,,
FORMULA,FORTY,,,,,,,,,,,,,,,,,,,,,,,
FOX,FOX,,,,,,,,,,,,,,,,,,,,,,,
FRIDENSON,FRDN,,,,,,,,,,,,,,,,,,,,,,,
G 1 SECU,GOSS,,,,,,,,,,,,,,,,,,,,,,,
G CITY,GCT,,,,,,,,,,,,,,,,,,,,,,,
G.F.C-M,GFC-M,,,,,,,,,,,,,,,,,,,,,,,
G.P GLOBAL-M,GPGB-M,,,,,,,,,,,,,,,,,,,,,,,
GADSDEN PROP,GADS,,,,,,,,,,,,,,,,,,,,,,,
GAMA MANAGEMENT,GMA,,,,,,,,,,,,,,,,,,,,,,,
GAMLA HAREL,GMLA,,,,,,,,,,,,,,,,,,,,,,,
GAN SHMUEL,GSFI,,,,,,,,,,,,,,,,,,,,,,,
GAON,GAON,,,,,,,,,,,,,,,,,,,,,,,
GAON GROUP,GAGR,,,,,,,,,,,,,,,,,,,,,,,
GAV YAM,GVYM,,,,,,,,,,,,,,,,,,,,,,,
GENCELL,GNCL,,,,,,,,,,,,,,,,,,,,,,,
GENERATION CAP,GNRS,,,,,,,,,,,,,,,,,,,,,,,
GIBUI HOLDING,GIBUI,,,,,,,,,,,,,,,,,,,,,,,
GILAT,GILT,,,,,,,,,,,,,,,,,,,,,,,
GILAT TELECOM,GLTL,,,,,,,,,,,,,,,,,,,,,,,
GINEGAR,GNGR,,,,,,,,,,,,,,,,,,,,,,,
GIVOT     PU,GIVO,,,,,,,,,,,,,,,,,,,,,,,
GIX,GIX,,,,,,,,,,,,,,,,,,,,,,,
GLASSBOX,GLBX,,,,,,,,,,,,,,,,,,,,,,,
GLILEO TECH,GLTC,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL KNAFAIM,GKL,,,,,,,,,,,,,,,,,,,,,,,
GLOBE ENERGY PU,GLEN,,,,,,,,,,,,,,,,,,,,,,,
GLOBRANDS,GLRS,,,,,,,,,,,,,,,,,,,,,,,
GOLAN PLASTIC,GLPL,,,,,,,,,,,,,,,,,,,,,,,
GOLD,GOLD,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN HOUSE,GOHO,,,,,,,,,,,,,,,,,,,,,,,
GOLF,GOLF,,,,,,,,,,,,,,,,,,,,,,,
GOTO,GOTO,,,,,,,,,,,,,,,,,,,,,,,
GRACE BREEDING,GRAC,,,,,,,,,,,,,,,,,,,,,,,
GROUP 107,G107,,,,,,,,,,,,,,,,,,,,,,,
GUIDELINE,GUID,,,,,,,,,,,,,,,,,,,,,,,
HADASIT BIO,HDST,,,,,,,,,,,,,,,,,,,,,,,
HAGAG,HGG,,,,,,,,,,,,,,,,,,,,,,,
HAGAG EURO,HGGE,,,,,,,,,,,,,,,,,,,,,,,
HAMAMA,HMAM,,,,,,,,,,,,,,,,,,,,,,,
HAMASHBIR 365,MSBI,,,,,,,,,,,,,,,,,,,,,,,
HAMAT,HAMAT,,,,,,,,,,,,,,,,,,,,,,,
HANAN MOR,HNMR,,,,,,,,,,,,,,,,,,,,,,,
HAREL,HARL,,,,,,,,,,,,,,,,,,,,,,,
HIGHCON SYSTM,HICN,,,,,,,,,,,,,,,,,,,,,,,
HILAN,HLAN,,,,,,,,,,,,,,,,,,,,,,,
HIPER GLOBAL,HIPR,,,,,,,,,,,,,,,,,,,,,,,
HIRON,HRON,,,,,,,,,,,,,,,,,,,,,,,
HIVE 2040 PU,HIVE,,,,,,,,,,,,,,,,,,,,,,,
HOD,HOD,,,,,,,,,,,,,,,,,,,,,,,
HOLMES PLACE,HLMS,,,,,,,,,,,,,,,,,,,,,,,
HOMEBIOGAS,HMGS,,,,,,,,,,,,,,,,,,,,,,,
HUB,HUB,,,,,,,,,,,,,,,,,,,,,,,
HUMAN XT,HUMX,,,,,,,,,,,,,,,,,,,,,,,
I ARGENTO PU,IARG,,,,,,,,,,,,,,,,,,,,,,,
IBI INV HOUSE,IBI,,,,,,,,,,,,,,,,,,,,,,,
ICECURE MEDICAL,ICCM,,,,,,,,,,,,,,,,,,,,,,,
ICL,ICL,,,,,,,,,,,,,,,,,,,,,,,
ICON GROUP,ICON,,,,,,,,,,,,,,,,,,,,,,,
IDENTI,IDNT,,,,,,,,,,,,,,,,,,,,,,,
IDI INSUR,IDIN,,,,,,,,,,,,,,,,,,,,,,,
IDOMOO,IDMO,,,,,,,,,,,,,,,,,,,,,,,
IES,IES,,,,,,,,,,,,,,,,,,,,,,,
ILD RENEWAL,ILDR,,,,,,,,,,,,,,,,,,,,,,,
ILEX MEDICAL,ILX,,,,,,,,,,,,,,,,,,,,,,,
IMAGESAT  I.S.I,ISI,,,,,,,,,,,,,,,,,,,,,,,
IMCO,IMCO,,,,,,,,,,,,,,,,,,,,,,,
IMED PU,IMED,,,,,,,,,,,,,,,,,,,,,,,
IMPACX,IMPC,,,,,,,,,,,,,,,,,,,,,,,
INFIMER-M,INFR-M,,,,,,,,,,,,,,,,,,,,,,,
INFINYA,INFN,,,,,,,,,,,,,,,,,,,,,,,
INROM CONST,INRM,,,,,,,,,,,,,,,,,,,,,,,
INTELICANNA,INTL,,,,,,,,,,,,,,,,,,,,,,,
INTER INDSTRIES,ININ,,,,,,,,,,,,,,,,,,,,,,,
INTERCURE,INCR,,,,,,,,,,,,,,,,,,,,,,,
INTERGAMA,INTR,,,,,,,,,,,,,,,,,,,,,,,
INTERNET GOLD-M,IGLD-M,,,,,,,,,,,,,,,,,,,,,,,
ISPAC 1,ISPC,,,,,,,,,,,,,,,,,,,,,,,
ISRACARD,ISCD,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL CANADA,ISCN,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL CORP,ILCO,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL OP    PU,ISOP,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL SHIPYARD,ISHI,,,,,,,,,,,,,,,,,,,,,,,
ISRAIR GROUP,ISRG,,,,,,,,,,,,,,,,,,,,,,,
ISRAMCO     PU,ISRA,,,,,,,,,,,,,,,,,,,,,,,
ISRAS,ISRS,,,,,,,,,,,,,,,,,,,,,,,
ISROTEL,ISRO,,,,,,,,,,,,,,,,,,,,,,,
ISSTA,ISTA,,,,,,,,,,,,,,,,,,,,,,,
JACOB FINANCE,JCFN,,,,,,,,,,,,,,,,,,,,,,,
JERUSALEM,JBNK,,,,,,,,,,,,,,,,,,,,,,,
JUNGO,JNGO,,,,,,,,,,,,,,,,,,,,,,,
KADIMASTEM,KDST,,,,,,,,,,,,,,,,,,,,,,,
KAFRIT,KAFR,,,,,,,,,,,,,,,,,,,,,,,
KAMADA,KMDA,,,,,,,,,,,,,,,,,,,,,,,
KARDAN N.V-M,KRNV-M,,,,,,,,,,,,,,,,,,,,,,,
KARDAN REAL ES,KARE,,,,,,,,,,,,,,,,,,,,,,,
KARDEN ISRAEL,KRDI,,,,,,,,,,,,,,,,,,,,,,,
KENON,KEN,,,,,,,,,,,,,,,,,,,,,,,
KERUR,KRUR,,,,,,,,,,,,,,,,,,,,,,,
KEYSTONE REIT,KSTN,,,,,,,,,,,,,,,,,,,,,,,
KLIL,KLIL,,,,,,,,,,,,,,,,,,,,,,,
KNAFAIM,KNFM,,,,,,,,,,,,,,,,,,,,,,,
KVASIR,KVSR,,,,,,,,,,,,,,,,,,,,,,,
LACHISH,LHIS,,,,,,,,,,,,,,,,,,,,,,,
LAHAV,LAHAV,,,,,,,,,,,,,,,,,,,,,,,
LAND DEV,ILDC,,,,,,,,,,,,,,,,,,,,,,,
LAPIDOT HEL PU,LPHL,,,,,,,,,,,,,,,,,,,,,,,
LAPIDOTH   CAP.,LAPD,,,,,,,,,,,,,,,,,,,,,,,
LEONARDO DRS,DRS,,,,,,,,,,,,,,,,,,,,,,,
LESICO,LSCO,,,,,,,,,,,,,,,,,,,,,,,
LEUMI,LUMI,,,,,,,,,,,,,,,,,,,,,,,
LEVINSKI OFER,LEOF,,,,,,,,,,,,,,,,,,,,,,,
LEVINSTEIN ENG,LEVI,,,,,,,,,,,,,,,,,,,,,,,
LEVINSTEIN PROP,LVPR,,,,,,,,,,,,,,,,,,,,,,,
LIBENTAL,LBTL,,,,,,,,,,,,,,,,,,,,,,,
LIBRA,LBRA,,,,,,,,,,,,,,,,,,,,,,,
LINEAGE THERAP,LCTX,,,,,,,,,,,,,,,,,,,,,,,
LIVEPERSON,LPSN,,,,,,,,,,,,,,,,,,,,,,,
LODZIA,LODZ,,,,,,,,,,,,,,,,,,,,,,,
LUDAN,LUDN,,,,,,,,,,,,,,,,,,,,,,,
LUZON GROUP,LUZN,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,MGIC,,,,,,,,,,,,,,,,,,,,,,,
MALAM TEAM,MLTM,,,,,,,,,,,,,,,,,,,,,,,
MAMAN,MMAN,,,,,,,,,,,,,,,,,,,,,,,
MASLAVI,MSLA,,,,,,,,,,,,,,,,,,,,,,,
MASSIVIT,MSVT,,,,,,,,,,,,,,,,,,,,,,,
MATRICELF,MTLF,,,,,,,,,,,,,,,,,,,,,,,
MATRIX,MTRX,,,,,,,,,,,,,,,,,,,,,,,
MAX STOCK,MAXO,,,,,,,,,,,,,,,,,,,,,,,
MAYTRONICS,MTRN,,,,,,,,,,,,,,,,,,,,,,,
MEDIPOWER 0.1$,MDPR,,,,,,,,,,,,,,,,,,,,,,,
MEDIPRSS PU,MPRS,,,,,,,,,,,,,,,,,,,,,,,
MEDITR TOWER,MDTR,,,,,,,,,,,,,,,,,,,,,,,
MEGA OR,MGOR,,,,,,,,,,,,,,,,,,,,,,,
MEHADRIN,MEDN,,,,,,,,,,,,,,,,,,,,,,,
MEITAV INVEST,MTAV,,,,,,,,,,,,,,,,,,,,,,,
MELISRON,MLSR,,,,,,,,,,,,,,,,,,,,,,,
MENARA PU,MNRA,,,,,,,,,,,,,,,,,,,,,,,
MENDELSON    IF,MNIN,,,,,,,,,,,,,,,,,,,,,,,
MENIF,MNIF,,,,,,,,,,,,,,,,,,,,,,,
MENIVIM REIT,MNRT,,,,,,,,,,,,,,,,,,,,,,,
MENORA MIV HLD,MMHD,,,,,,,,,,,,,,,,,,,,,,,
MER,CMER,,,,,,,,,,,,,,,,,,,,,,,
MERCHAVIA HOLD,MRHL,,,,,,,,,,,,,,,,,,,,,,,
MESHEK ENERGY,MSKE,,,,,,,,,,,,,,,,,,,,,,,
MGURIT,MGRT,,,,,,,,,,,,,,,,,,,,,,,
MIA DYNAMICS,MIA,,,,,,,,,,,,,,,,,,,,,,,
MICHLOL FIN,MCLL,,,,,,,,,,,,,,,,,,,,,,,
MICHMAN,MCMN,,,,,,,,,,,,,,,,,,,,,,,
MICRONET,MCRNT,,,,,,,,,,,,,,,,,,,,,,,
MIGDAL INSUR.,MGDL,,,,,,,,,,,,,,,,,,,,,,,
MIGDALOR,MGDA,,,,,,,,,,,,,,,,,,,,,,,
MILLENNIUM F PU,MIFT,,,,,,,,,,,,,,,,,,,,,,,
MIRLAND,MLD,,,,,,,,,,,,,,,,,,,,,,,
MISHORIM,MSHR,,,,,,,,,,,,,,,,,,,,,,,
MIVNE,MVNE,,,,,,,,,,,,,,,,,,,,,,,
MIVTACH SHAMIR,MISH,,,,,,,,,,,,,,,,,,,,,,,
MIZRAHI TEFAHOT,MZTF,,,,,,,,,,,,,,,,,,,,,,,
MLRN,MLRN,,,,,,,,,,,,,,,,,,,,,,,
MODIIN     PU,MDIN,,,,,,,,,,,,,,,,,,,,,,,
MORE INVEST,MRIN,,,,,,,,,,,,,,,,,,,,,,,
MORE PENSION,MPP,,,,,,,,,,,,,,,,,,,,,,,
MULTI RETAIL,MRG,,,,,,,,,,,,,,,,,,,,,,,
MY SIZE,MYSZ,,,,,,,,,,,,,,,,,,,,,,,
MYDAS,MYDS,,,,,,,,,,,,,,,,,,,,,,,
NALA DIGITAL,NALA,,,,,,,,,,,,,,,,,,,,,,,
NAPHTHA,NFTA,,,,,,,,,,,,,,,,,,,,,,,
NAVITAS PTRO PU,NVPT,,,,,,,,,,,,,,,,,,,,,,,
NAWI,NAWI,,,,,,,,,,,,,,,,,,,,,,,
NAYAX,NYAX,,,,,,,,,,,,,,,,,,,,,,,
NETANEL GROUP,NTGR,,,,,,,,,,,,,,,,,,,,,,,
NETO,NTO,,,,,,,,,,,,,,,,,,,,,,,
NETO MALINDA,NTML,,,,,,,,,,,,,,,,,,,,,,,
NEWMED ENERG PU,NWMD,,,,,,,,,,,,,,,,,,,,,,,
NEXT VISION,NXSN,,,,,,,,,,,,,,,,,,,,,,,
NEXTAGE,NXTG,,,,,,,,,,,,,,,,,,,,,,,
NEXTCOM,NXTM,,,,,,,,,,,,,,,,,,,,,,,
NEXTFERM,NXFR,,,,,,,,,,,,,,,,,,,,,,,
NEXTGEN,NXGN,,,,,,,,,,,,,,,,,,,,,,,
NICE,NICE,,,,,,,,,,,,,,,,,,,,,,,
NISSAN,NISA,,,,,,,,,,,,,,,,,,,,,,,
NOFAR ENERGY,NOFR,,,,,,,,,,,,,,,,,,,,,,,
NORSTAR,NSTR,,,,,,,,,,,,,,,,,,,,,,,
NOSTROMO,NOST,,,,,,,,,,,,,,,,,,,,,,,
NOVA,NVMI,,,,,,,,,,,,,,,,,,,,,,,
NOVOLOG,NVLG,,,,,,,,,,,,,,,,,,,,,,,
NRGENE,NRGN,,,,,,,,,,,,,,,,,,,,,,,
NUR,NURI,,,,,,,,,,,,,,,,,,,,,,,
O.R.T.,ORTC,,,,,,,,,,,,,,,,,,,,,,,
ONE TECHNOLOGI,ONE,,,,,,,,,,,,,,,,,,,,,,,
OPAL BALANCE,OPAL,,,,,,,,,,,,,,,,,,,,,,,
OPC ENERGY,OPCE,,,,,,,,,,,,,,,,,,,,,,,
OPKO HEALTH,OPK,,,,,,,,,,,,,,,,,,,,,,,
ORAD,ORAD,,,,,,,,,,,,,,,,,,,,,,,
ORAMED PHARM,ORMP,,,,,,,,,,,,,,,,,,,,,,,
ORBIT,ORBI,,,,,,,,,,,,,,,,,,,,,,,
ORIAN,ORIN,,,,,,,,,,,,,,,,,,,,,,,
ORMAT TECHNO,ORA,,,,,,,,,,,,,,,,,,,,,,,
ORON GROUP,ORON,,,,,,,,,,,,,,,,,,,,,,,
OVERSEAS,OVRS,,,,,,,,,,,,,,,,,,,,,,,
P.C.B TEC,PCBT,,,,,,,,,,,,,,,,,,,,,,,
PALRAM,PLRM,,,,,,,,,,,,,,,,,,,,,,,
PANAXIA ISRAEL,PNAX,,,,,,,,,,,,,,,,,,,,,,,
PARKOMAT,PRKM,,,,,,,,,,,,,,,,,,,,,,,
